User Input,Polarity,Extracted Concern,Category,Intensity
I've tried everything but I have trouble sleeping consistently.,Negative,have trouble sleeping,Insomnia,4
Starting exercise has me feeling little better.,Positive,feeling little better,Positive Outlook,3
I'm a little stressed about the minor schedule changes.,Negative,little stressed,Stress,2
Feeling sad and devastated,Negative,feeling sad,Anxiety,4
The wedding planning has me extremely stressed and overwhelmed.,Negative,extremely stressed,Stress,4
The product launch has me very stressed about success.,Negative,very stressed,Stress,4
I am happy right now,Positive,happy,Positive Outlook,3
Everything has me feeling depressed now.,Negative,feeling depressed,Depression,4
Sadness has taken over me,Negative,sadness,Anxiety,4
I'm thoroughly sad now,Negative,sad,Anxiety,4
My canceled vacation has me feeling depressed.,Negative,feeling depressed,Depression,4
My morning sickness makes me unable to eat breakfast.,Negative,unable to eat,Eating Disorder,1
The chronic condition has me distressed over health stability.,Negative,distressed over health,Health Anxiety,3
The bankruptcy process has me extremely stressed daily.,Negative,extremely stressed,Stress,4
The job interview next week has me very stressed and anxious.,Negative,very stressed,Stress,4
I'm a little stressed about picking an outfit for the date.,Negative,little stressed,Stress,2
With these joint pains I'm worried about health deterioration.,Negative,worried about health,Health Anxiety,2
My soul is full of happiness,Positive,happiness,Positive Outlook,3
My partner snores so loudly that I can't sleep well anymore.,Negative,can't sleep well,Insomnia,2
Feeling sad and drained,Negative,feeling sad,Anxiety,4
I'm simply happy today,Positive,happy,Positive Outlook,3
The recurring pain has me distressed over health conditions.,Negative,distressed over health,Health Anxiety,4
After medication changes I'm worried about health adjustments.,Negative,worried about health,Health Anxiety,3
These chest pains have me distressed over health concerns.,Negative,distressed over health,Health Anxiety,4
With odd hours I'm not eating properly anymore.,Negative,not eating properly,Eating Disorder,1
After the screening test I'm worried about health results.,Negative,worried about health,Health Anxiety,2
I am sad right now,Negative,sad,Anxiety,4
Since changing medications I'm worried about health adjustments.,Negative,worried about health,Health Anxiety,2
Ever since the breakup I have trouble sleeping.,Negative,have trouble sleeping,Insomnia,4
The mortgage application has me extremely stressed.,Negative,extremely stressed,Stress,4
Public speaking makes me a little stressed but I cope.,Negative,little stressed,Stress,2
I'm a little stressed about the job change.,Negative,little stressed,Stress,2
These regrets have me feeling depressed.,Negative,feeling depressed,Depression,4
Retirement has me feeling very low today.,Negative,feeling very low,Depression,2
These health changes have me distressed over health stability.,Negative,distressed over health,Health Anxiety,3
The medical testing has me distressed over health diagnosis.,Negative,distressed over health,Health Anxiety,3
I'm persistently sad lately,Negative,sad,Anxiety,4
Managing the team project has me very stressed.,Negative,very stressed,Stress,4
I'm constantly worried about internet security.,Negative,constantly worried,Anxiety,2
The late bus has me feeling very low.,Negative,feeling very low,Depression,2
Since developing allergies I'm worried about health reactions.,Negative,worried about health,Health Anxiety,2
These changes have me feeling much better.,Positive,feeling much better,Positive Outlook,3
During work I'm not eating properly or well.,Negative,not eating properly,Eating Disorder,1
The summer heat means I can't sleep well even with the fan on.,Negative,can't sleep well,Insomnia,2
Since hormone changes I'm worried about health balance.,Negative,worried about health,Health Anxiety,3
These software updates have me feeling depressed.,Negative,feeling depressed,Depression,4
My birthday has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I am sad today,Negative,sad,Anxiety,4
The forgotten password has me feeling very low.,Negative,feeling very low,Depression,2
These neurological symptoms have me distressed over health status.,Negative,distressed over health,Health Anxiety,3
I'm desperately sad today,Negative,sad,Anxiety,4
My pet's illness has me feeling very low.,Negative,feeling very low,Depression,2
While studying I'm not eating properly or enough.,Negative,not eating properly,Eating Disorder,1
I'm feeling hopeful about my future now.,Positive,feeling hopeful,Positive Outlook,3
The lab results have me distressed over health conditions.,Negative,distressed over health,Health Anxiety,4
Cooking for guests makes me a little stressed.,Negative,little stressed,Stress,2
Sad thoughts won't leave my mind,Negative,sad,Anxiety,4
I've been tossing and turning all night because I can't sleep well.,Negative,can't sleep well,Insomnia,2
Feeling lonely and distant,Negative,feeling lonely,Anxiety,3
Without planning I'm not eating properly these days.,Negative,not eating properly,Eating Disorder,1
I'm constantly worried about financial future.,Negative,constantly worried,Anxiety,2
My tonsillitis makes me unable to eat anything.,Negative,unable to eat,Eating Disorder,1
I am sad about the news,Negative,sad,Anxiety,4
The construction next door means I can't sleep well during the day.,Negative,can't sleep well,Insomnia,2
The support group has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The immigration process has me extremely stressed daily.,Negative,extremely stressed,Stress,4
Interviews make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
I'm feeling hopeful about this chance.,Positive,feeling hopeful,Positive Outlook,3
I am sad right now,Negative,sad,Anxiety,4
My headache makes me unable to eat normally.,Negative,unable to eat,Eating Disorder,1
I am sad today,Negative,sad,Anxiety,4
My failures have me feeling depressed.,Negative,feeling depressed,Depression,4
Job hunting has me feeling very low.,Negative,feeling very low,Depression,2
Public speaking makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
I'm sad about the news,Negative,sad,Anxiety,4
I'm completely broken with sadness,Negative,sad,Anxiety,4
I'm simply lonely today,Negative,lonely,Anxiety,3
The chemotherapy leaves me unable to eat most foods.,Negative,unable to eat,Eating Disorder,1
The tax audit has me extremely stressed.,Negative,extremely stressed,Stress,4
I'm feeling very anxious about the job interview.,Negative,feeling very anxious,Anxiety,2
The ongoing monitoring has me distressed over health stability.,Negative,distressed over health,Health Anxiety,3
The minor car repairs have me a little stressed about costs.,Negative,little stressed,Stress,2
Pure sadness is consuming me,Negative,sadness,Anxiety,4
With my irregular heartbeat I'm worried about health risks.,Negative,worried about health,Health Anxiety,2
The problems have me feeling very low.,Negative,feeling very low,Depression,2
Painting has me feeling little better.,Positive,feeling little better,Positive Outlook,3
The medication has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The empty house has me feeling depressed.,Negative,feeling depressed,Depression,4
During exams I'm not eating properly or regularly.,Negative,not eating properly,Eating Disorder,1
The cancelled plans have me feeling very low.,Negative,feeling very low,Depression,2
These neurological symptoms have me distressed over health status.,Negative,distressed over health,Health Anxiety,3
I'm feeling hopeful about the new project.,Positive,feeling hopeful,Positive Outlook,3
Feeling sad to my core,Negative,feeling sad,Anxiety,4
Elevators make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
I'm desperately sad today,Negative,sad,Anxiety,4
The missed call has me feeling very low.,Negative,feeling very low,Depression,2
I'm sad right now,Negative,sad,Anxiety,4
I'm sad about the news,Negative,sad,Anxiety,4
My days are filled with happiness,Positive,happiness,Positive Outlook,3
Since the injury I'm worried about health recovery.,Negative,worried about health,Health Anxiety,2
Sad thoughts won't leave my mind,Negative,sad,Anxiety,4
The support has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The vertigo makes me unable to eat when dizzy.,Negative,unable to eat,Eating Disorder,1
I'm feeling sad beyond measure,Negative,feeling sad,Anxiety,4
Sleep has me feeling little better.,Positive,feeling little better,Positive Outlook,3
The ongoing treatment has me distressed over health progress.,Negative,distressed over health,Health Anxiety,4
The holidays have me feeling very low.,Negative,feeling very low,Depression,2
The loan application has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
I am feeling incredibly happy,Positive,feeling happy,Positive Outlook,3
During work I'm not eating properly or well.,Negative,not eating properly,Eating Disorder,1
I'm constantly worried about cyber security.,Negative,constantly worried,Anxiety,2
The foreclosure process has me extremely stressed now.,Negative,extremely stressed,Stress,4
Feeling lonely and withdrawn,Negative,feeling lonely,Anxiety,3
I'm constantly worried about air pollution.,Negative,constantly worried,Anxiety,2
Feeling sad to my core,Negative,feeling sad,Anxiety,4
The broken promise has me feeling very low.,Negative,feeling very low,Depression,2
I'm thoroughly lonely now,Negative,lonely,Anxiety,3
This success has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
The recurring pain has me distressed over health conditions.,Negative,distressed over health,Health Anxiety,4
Between meetings I'm not eating properly today.,Negative,not eating properly,Eating Disorder,1
The mild cold has me a little stressed about recovery.,Negative,little stressed,Stress,2
The dental visit has me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
Writing has me feeling little better.,Positive,feeling little better,Positive Outlook,3
I'm feeling lonely this evening,Negative,feeling lonely,Anxiety,3
I have trouble sleeping since moving to the city.,Negative,have trouble sleeping,Insomnia,4
The uncertainty has me feeling very low.,Negative,feeling very low,Depression,2
My creative block has me feeling depressed.,Negative,feeling depressed,Depression,4
Since starting medication I'm worried about health side effects.,Negative,worried about health,Health Anxiety,2
The neighbors are so loud that I can't sleep well most nights.,Negative,can't sleep well,Insomnia,2
Darkness makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
Ever since the accident I have trouble sleeping through the night.,Negative,have trouble sleeping,Insomnia,4
The business pitch has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
The walk made me feeling little better.,Positive,feeling little better,Positive Outlook,3
My world holds this loneliness,Negative,loneliness,Anxiety,3
The sound of rain means I have trouble sleeping sometimes.,Negative,have trouble sleeping,Insomnia,4
This love has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
The missed opportunity has me feeling very low.,Negative,feeling very low,Depression,2
The client meeting has me very stressed about preparation.,Negative,very stressed,Stress,4
Feeling sad and helpless,Negative,feeling sad,Anxiety,4
I am happy about the news,Positive,happy,Positive Outlook,3
I'm feeling sad,Negative,feeling sad,Anxiety,4
My nausea makes me unable to eat in the mornings.,Negative,unable to eat,Eating Disorder,1
I'm sad today,Negative,sad,Anxiety,4
The evaluation has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
The progress has me feeling much better.,Positive,feeling much better,Positive Outlook,3
During fieldwork I'm not eating properly or well.,Negative,not eating properly,Eating Disorder,1
My depression makes me unable to eat much.,Negative,unable to eat,Eating Disorder,1
My soul is full of happiness,Positive,happiness,Positive Outlook,3
The constant worry about bills means I can't sleep well lately.,Negative,can't sleep well,Insomnia,2
I'm sad today,Negative,sad,Anxiety,4
The code review has me very stressed about feedback.,Negative,very stressed,Stress,4
I'm sad right now,Negative,sad,Anxiety,4
The street noise means I can't sleep well in this apartment.,Negative,can't sleep well,Insomnia,2
The jet lag means I have trouble sleeping at normal hours now.,Negative,have trouble sleeping,Insomnia,4
The casual meeting has me a little stressed today.,Negative,little stressed,Stress,2
My dry throat means I'm unable to sleep comfortably.,Negative,unable to sleep,Insomnia,1
I'm a little stressed about the blind date.,Negative,little stressed,Stress,2
Sadness pierces through me,Negative,sadness,Anxiety,4
Sad thoughts won't leave my mind,Negative,sad,Anxiety,4
The immigration process has me extremely stressed.,Negative,extremely stressed,Stress,4
I'm constantly worried about my parent's health.,Negative,constantly worried,Anxiety,2
I'm a little stressed about the upcoming group lunch.,Negative,little stressed,Stress,2
I'm feeling hopeful about the upcoming changes.,Positive,feeling hopeful,Positive Outlook,3
The immigration process has me extremely stressed daily.,Negative,extremely stressed,Stress,4
My new exercise routine means I have trouble sleeping from muscle aches.,Negative,have trouble sleeping,Insomnia,4
My heart aches with sadness,Negative,sadness,Anxiety,4
The stress makes me unable to eat properly.,Negative,unable to eat,Eating Disorder,1
Food has me feeling little better.,Positive,feeling little better,Positive Outlook,3
I'm undeniably happy now,Positive,happy,Positive Outlook,3
I'm feeling happy this morning,Positive,feeling happy,Positive Outlook,3
The office restructuring has me very stressed.,Negative,very stressed,Stress,4
The humidity makes me have trouble sleeping without air conditioning.,Negative,have trouble sleeping,Insomnia,4
The sun has me feeling much better.,Positive,feeling much better,Positive Outlook,3
During research I'm not eating properly at all.,Negative,not eating properly,Eating Disorder,1
Feeling happy and motivated,Positive,feeling happy,Positive Outlook,3
I'm feeling hopeful about growth now.,Positive,feeling hopeful,Positive Outlook,3
The legal dispute has me extremely stressed and anxious.,Negative,extremely stressed,Stress,4
I'm completely sad now,Negative,sad,Anxiety,4
I'm feeling happy this morning,Positive,feeling happy,Positive Outlook,3
I'm constantly worried about food safety.,Negative,constantly worried,Anxiety,2
These relationship issues have me feeling depressed.,Negative,feeling depressed,Depression,4
Sadness weighs heavily on me,Negative,sadness,Anxiety,4
I'm feeling a little stressed about the upcoming dental appointment.,Negative,little stressed,Stress,2
I'm sad,Negative,sad,Anxiety,4
The gastritis makes me unable to eat large meals.,Negative,unable to eat,Eating Disorder,1
Every single night I'm unable to sleep until early morning.,Negative,unable to sleep,Insomnia,1
This achievement has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
After the doctor's visit I'm worried about health problems.,Negative,worried about health,Health Anxiety,2
Feeling sad and lost,Negative,feeling sad,Anxiety,4
The home renovation has me very stressed about decisions.,Negative,very stressed,Stress,4
I'm desperately sad today,Negative,sad,Anxiety,4
The divorce proceedings have me extremely stressed now.,Negative,extremely stressed,Stress,4
My new exercise routine means I'm unable to sleep right away.,Negative,unable to sleep,Insomnia,1
The upcoming exam has me so stressed I can't sleep well.,Negative,can't sleep well,Insomnia,2
This injury has me feeling very low now.,Negative,feeling very low,Depression,2
The quiet house has me feeling very low.,Negative,feeling very low,Depression,2
The vacation has me feeling much better.,Positive,feeling much better,Positive Outlook,3
Without meal prep I'm not eating properly all week.,Negative,not eating properly,Eating Disorder,1
The rainy weather has me feeling very low today.,Negative,feeling very low,Depression,2
Without breaks I'm not eating properly at work.,Negative,not eating properly,Eating Disorder,1
This party has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
My engagement has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling hopeful about my relationship.,Positive,feeling hopeful,Positive Outlook,3
The pressure has me feeling very low.,Negative,feeling very low,Depression,2
The cold winter has me feeling very low.,Negative,feeling very low,Depression,2
Post-surgery I'm unable to eat regular food yet.,Negative,unable to eat,Eating Disorder,1
These nightmares mean I can't sleep well without fear.,Negative,can't sleep well,Insomnia,2
The motion sickness makes me unable to eat traveling.,Negative,unable to eat,Eating Disorder,1
These physical changes have me distressed over health progress.,Negative,distressed over health,Health Anxiety,3
These blood tests have me distressed over health status.,Negative,distressed over health,Health Anxiety,4
The lab results have me distressed over health conditions.,Negative,distressed over health,Health Anxiety,4
Recent medical news has me distressed over health matters.,Negative,distressed over health,Health Anxiety,4
I'm a little stressed about the family visit.,Negative,little stressed,Stress,2
I'm feeling hopeful about this application.,Positive,feeling hopeful,Positive Outlook,3
I'm hopelessly sad now,Negative,sad,Anxiety,4
The court date has me extremely stressed and worried.,Negative,extremely stressed,Stress,4
I'm persistently sad lately,Negative,sad,Anxiety,4
The power outage has me feeling very low.,Negative,feeling very low,Depression,2
I'm constantly worried about paying bills.,Negative,constantly worried,Anxiety,2
Feeling sad and alone,Negative,feeling sad,Anxiety,4
The thin walls mean I have trouble sleeping with noisy neighbors.,Negative,have trouble sleeping,Insomnia,4
I'm constantly worried about family health.,Negative,constantly worried,Anxiety,2
The missed opportunity has me feeling very low.,Negative,feeling very low,Depression,2
Fresh air has me feeling little better.,Positive,feeling little better,Positive Outlook,3
Feeling sad and empty,Negative,feeling sad,Anxiety,4
Drawing has me feeling little better.,Positive,feeling little better,Positive Outlook,3
During projects I'm not eating properly all day.,Negative,not eating properly,Eating Disorder,1
My chronic migraines have me distressed over health impact.,Negative,distressed over health,Health Anxiety,4
During meetings I'm not eating properly or enough.,Negative,not eating properly,Eating Disorder,1
The support group has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The song has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The expired food has me feeling very low.,Negative,feeling very low,Depression,2
I'm constantly worried about global conflicts.,Negative,constantly worried,Anxiety,2
Since the injury I'm worried about health recovery.,Negative,worried about health,Health Anxiety,2
With my immune system I'm worried about health vulnerability.,Negative,worried about health,Health Anxiety,2
The slow internet has me feeling very low.,Negative,feeling very low,Depression,2
The construction next door means I can't sleep well during the day.,Negative,can't sleep well,Insomnia,2
I'm constantly worried about relationship issues.,Negative,constantly worried,Anxiety,2
My strep throat makes me unable to eat solids.,Negative,unable to eat,Eating Disorder,1
My health issues have me feeling depressed.,Negative,feeling depressed,Depression,4
The chemotherapy leaves me unable to eat most foods.,Negative,unable to eat,Eating Disorder,1
I'm feeling hopeful about us now.,Positive,feeling hopeful,Positive Outlook,3
I'm a little stressed about the weekend weather forecast.,Negative,little stressed,Stress,2
I'm thoroughly sad now,Negative,sad,Anxiety,4
This life has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm happy today,Positive,happy,Positive Outlook,3
The court hearing has me extremely stressed and nervous.,Negative,extremely stressed,Stress,4
I am feeling sad,Negative,feeling sad,Anxiety,4
The medical reports have me distressed over health findings.,Negative,distressed over health,Health Anxiety,4
I'm overwhelmingly sad today,Negative,sad,Anxiety,4
I'm a little stressed about the upcoming dentist appointment.,Negative,little stressed,Stress,2
Travel makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The medical history has me distressed over health patterns.,Negative,distressed over health,Health Anxiety,4
During travel I'm not eating properly or nutritiously.,Negative,not eating properly,Eating Disorder,1
Meditation has me feeling little better.,Positive,feeling little better,Positive Outlook,3
I'm persistently sad lately,Negative,sad,Anxiety,4
I'm terribly sad right now,Negative,sad,Anxiety,4
The routine checkup has me a little stressed but fine.,Negative,little stressed,Stress,2
Pet sitting makes me a little stressed.,Negative,little stressed,Stress,2
I'm sad about the news,Negative,sad,Anxiety,4
I'm feeling little anxious about the routine checkup.,Negative,feeling little anxious,Anxiety,1
The ongoing symptoms have me distressed over health stability.,Negative,distressed over health,Health Anxiety,4
The health concerns have me extremely stressed and anxious.,Negative,extremely stressed,Stress,4
I'm feeling hopeful about the treatment plan.,Positive,feeling hopeful,Positive Outlook,3
My project failure has me feeling depressed.,Negative,feeling depressed,Depression,4
Family issues have me feeling very low.,Negative,feeling very low,Depression,2
Airports make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
Taking photos makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
Such profound sadness inside,Negative,sadness,Anxiety,4
I'm sad right now,Negative,sad,Anxiety,4
The minor car repairs have me a little stressed about costs.,Negative,little stressed,Stress,2
The weekend alone has me feeling very low.,Negative,feeling very low,Depression,2
This competition has me feeling depressed.,Negative,feeling depressed,Depression,4
The help has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The dentist visit has me a little stressed this morning.,Negative,little stressed,Stress,2
Feeling sad and empty,Negative,feeling sad,Anxiety,4
Overwhelming sadness fills me,Negative,overwhelming sadness,Anxiety,4
Today I'm lonely,Negative,lonely,Anxiety,3
My chronic pain means I'm unable to sleep through the night.,Negative,unable to sleep,Insomnia,1
My visa application has me extremely stressed about timing.,Negative,extremely stressed,Stress,4
Deep sadness consumes me now,Negative,sadness,Anxiety,4
This visit has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
The chronic condition has me distressed over health future.,Negative,distressed over health,Health Anxiety,3
The loss has me feeling very low lately.,Negative,feeling very low,Depression,2
Feeling sad and numb,Negative,feeling sad,Anxiety,4
Watching scary movies means I can't sleep well afterward.,Negative,can't sleep well,Insomnia,2
I'm feeling hopeful about work now.,Positive,feeling hopeful,Positive Outlook,3
With three projects due I'm extremely stressed about managing time.,Negative,extremely stressed,Stress,4
I'm constantly worried about job security.,Negative,constantly worried,Anxiety,2
My broken phone has me feeling depressed.,Negative,feeling depressed,Depression,4
Feeling lonely and disconnected,Negative,feeling lonely,Anxiety,3
Working night shifts means I have trouble sleeping during the day.,Negative,have trouble sleeping,Insomnia,4
Overwhelming sadness fills me,Negative,overwhelming sadness,Anxiety,4
I'm constantly worried about missing deadlines.,Negative,constantly worried,Anxiety,2
Work pressure has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm a little stressed about meeting my partner's family tomorrow.,Negative,little stressed,Stress,2
Shopping during sales makes me a little stressed.,Negative,little stressed,Stress,2
The ongoing symptoms have me distressed over health progress.,Negative,distressed over health,Health Anxiety,3
I'm deeply feeling sad today,Negative,feeling sad,Anxiety,4
Planning the birthday party has me a little stressed.,Negative,little stressed,Stress,2
The grief makes me unable to eat anything substantial.,Negative,unable to eat,Eating Disorder,1
The birthday alone has me feeling very low.,Negative,feeling very low,Depression,2
These physical symptoms have me distressed over health decline.,Negative,distressed over health,Health Anxiety,3
Feeling sad and empty,Negative,feeling sad,Anxiety,4
The anniversary has me feeling very low.,Negative,feeling very low,Depression,2
The board meeting has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Feeling sad and defeated,Negative,feeling sad,Anxiety,4
After health screening I'm worried about health results.,Negative,worried about health,Health Anxiety,3
I'm unbearably sad today,Negative,sad,Anxiety,4
Sadness fills every part of me,Negative,sadness,Anxiety,4
I'm feeling hopeful about healing.,Positive,feeling hopeful,Positive Outlook,3
The company merger has me very stressed.,Negative,very stressed,Stress,4
Feeling happy and motivated,Positive,feeling happy,Positive Outlook,3
I'm terribly sad right now,Negative,sad,Anxiety,4
Feeling sad and numb,Negative,feeling sad,Anxiety,4
The tax audit has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
As a freelancer I'm not eating properly between jobs.,Negative,not eating properly,Eating Disorder,1
This social anxiety has me feeling depressed.,Negative,feeling depressed,Depression,4
My career change has me extremely stressed.,Negative,extremely stressed,Stress,4
I'm sad today,Negative,sad,Anxiety,4
The stomach bug makes me unable to eat anything.,Negative,unable to eat,Eating Disorder,1
I'm unbearably sad today,Negative,sad,Anxiety,4
I'm profoundly sad today,Negative,sad,Anxiety,4
The wrong order has me feeling very low.,Negative,feeling very low,Depression,2
My bad haircut has me feeling depressed.,Negative,feeling depressed,Depression,4
The medical bills have me extremely stressed about funds.,Negative,extremely stressed,Stress,4
My toothache makes me unable to eat properly.,Negative,unable to eat,Eating Disorder,1
The pending lawsuit has me extremely stressed constantly.,Negative,extremely stressed,Stress,4
I'm sincerely lonely today,Negative,lonely,Anxiety,3
The market analysis has me very stressed about results.,Negative,very stressed,Stress,4
I'm undeniably lonely now,Negative,lonely,Anxiety,3
Financial stress means I can't sleep well these days.,Negative,can't sleep well,Insomnia,2
The missed deadline has me feeling very low.,Negative,feeling very low,Depression,2
I can't shake this feeling of sadness,Negative,sadness,Anxiety,4
During conferences I'm not eating properly or well.,Negative,not eating properly,Eating Disorder,1
These deadlines have me feeling depressed.,Negative,feeling depressed,Depression,4
The team meeting has me very stressed about reporting.,Negative,very stressed,Stress,4
Since moving out I'm not eating properly or regularly.,Negative,not eating properly,Eating Disorder,1
I'm a little stressed about the minor technical issues.,Negative,little stressed,Stress,2
The heartburn makes me unable to eat spicy foods.,Negative,unable to eat,Eating Disorder,1
My sinus problems mean I'm unable to sleep through the night.,Negative,unable to sleep,Insomnia,1
The family gathering has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Feeling sad and numb,Negative,feeling sad,Anxiety,4
The exam results have me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
This divorce has me feeling very low right now.,Negative,feeling very low,Depression,2
I'm constantly worried about financial future.,Negative,constantly worried,Anxiety,2
The upcoming audit has me very stressed about documentation.,Negative,very stressed,Stress,4
I'm constantly worried about my health issues.,Negative,constantly worried,Anxiety,2
This burden has me feeling very low.,Negative,feeling very low,Depression,2
Presentations make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The custody hearing has me extremely stressed.,Negative,extremely stressed,Stress,4
These friends have me feeling much better.,Positive,feeling much better,Positive Outlook,3
The court date has me extremely stressed and worried.,Negative,extremely stressed,Stress,4
These internet issues have me feeling depressed.,Negative,feeling depressed,Depression,4
The team meeting has me very stressed about reporting.,Negative,very stressed,Stress,4
I can't shake this feeling of sadness,Negative,sadness,Anxiety,4
Overwhelming sadness fills me,Negative,overwhelming sadness,Anxiety,4
Deep sadness consumes me now,Negative,sadness,Anxiety,4
This day has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm feeling sad,Negative,feeling sad,Anxiety,4
I'm quite lonely today,Negative,lonely,Anxiety,3
The smile has me feeling much better.,Positive,feeling much better,Positive Outlook,3
The missing package has me feeling very low.,Negative,feeling very low,Depression,2
Feeling happy and energized,Positive,feeling happy,Positive Outlook,3
Lonely thoughts occupy my mind,Negative,lonely,Anxiety,3
Between clients I'm not eating properly today.,Negative,not eating properly,Eating Disorder,1
Travel planning makes me a little stressed.,Negative,little stressed,Stress,2
Recovery has me feeling depressed sometimes.,Negative,feeling depressed,Depression,4
I'm feeling hopeful about the upcoming changes.,Positive,feeling hopeful,Positive Outlook,3
This raise has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
The driving test has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
My days are filled with happiness,Positive,happiness,Positive Outlook,3
The minor exam has me a little stressed but manageable.,Negative,little stressed,Stress,2
The team conflicts at work have me very stressed.,Negative,very stressed,Stress,4
Running has me feeling little better.,Positive,feeling little better,Positive Outlook,3
Just feeling incredibly sad,Negative,feeling sad,Anxiety,4
Feeling happy and energized,Positive,feeling happy,Positive Outlook,3
Feeling sad and alone,Negative,feeling sad,Anxiety,4
My missed appointment has me feeling depressed.,Negative,feeling depressed,Depression,4
I'm deeply feeling sad today,Negative,feeling sad,Anxiety,4
The home renovation has me very stressed about decisions.,Negative,very stressed,Stress,4
The gastritis makes me unable to eat large meals.,Negative,unable to eat,Eating Disorder,1
These skin changes have me distressed over health indicators.,Negative,distressed over health,Health Anxiety,4
I can't shake this feeling of sadness,Negative,sadness,Anxiety,4
I'm a little stressed about the upcoming driving test.,Negative,little stressed,Stress,2
My jaw pain makes me unable to eat normal meals.,Negative,unable to eat,Eating Disorder,1
The power outage has me feeling very low.,Negative,feeling very low,Depression,2
I'm a little stressed about the weather forecast.,Negative,little stressed,Stress,2
Feeling sad and helpless,Negative,feeling sad,Anxiety,4
I'm deeply sad today,Negative,sad,Anxiety,4
Interviews make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
Meeting new people makes me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
The baby news has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
I'm intensely sad right now,Negative,sad,Anxiety,4
The blind date has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Planning this wedding has me a little stressed but I'm managing.,Negative,little stressed,Stress,2
Feeling sad and vulnerable,Negative,feeling sad,Anxiety,4
The team leadership has me very stressed about managing.,Negative,very stressed,Stress,4
With these lifestyle changes I'm worried about health impact.,Negative,worried about health,Health Anxiety,2
With long shifts I'm not eating properly lately.,Negative,not eating properly,Eating Disorder,1
I'm completely happy right now,Positive,happy,Positive Outlook,3
This new mattress means I can't sleep well yet.,Negative,can't sleep well,Insomnia,2
The medication side effects leave me unable to eat without nausea.,Negative,unable to eat,Eating Disorder,1
This jet lag means I have trouble sleeping at the right times.,Negative,have trouble sleeping,Insomnia,4
Team meetings make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
This bliss has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
With overtime work I'm not eating properly these days.,Negative,not eating properly,Eating Disorder,1
Heights make me feeling little anxious.,Negative,feeling little anxious,Anxiety,1
This competition has me feeling depressed.,Negative,feeling depressed,Depression,4
Due to severe anxiety I'm unable to eat anything substantial.,Negative,unable to eat,Eating Disorder,1
I'm profoundly sad today,Negative,sad,Anxiety,4
The loss has me feeling very low lately.,Negative,feeling very low,Depression,2
The pneumonia makes me unable to eat much.,Negative,unable to eat,Eating Disorder,1
Pure sadness is consuming me,Negative,sadness,Anxiety,4
The home purchase has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
The broken promise has me feeling very low.,Negative,feeling very low,Depression,2
I'm feeling hopeful about the test results.,Positive,feeling hopeful,Positive Outlook,3
I toss and turn every night because I can't sleep well and feel exhausted the next day.,Negative,can't sleep well,Insomnia,2
Just feeling incredibly sad,Negative,feeling sad,Anxiety,4
With my immune response I'm worried about health protection.,Negative,worried about health,Health Anxiety,3
Hot shower has me feeling little better.,Positive,feeling little better,Positive Outlook,3
Just feeling rather lonely,Negative,feeling lonely,Anxiety,3
I have trouble sleeping since moving to the city.,Negative,have trouble sleeping,Insomnia,4
